,개체명,거래코드,단어,단어의미,단어일련번호,데이터셋출처,분류,분류번호,완료여부,입출금구분,적요,적요 설명,적요구조,적요구조일련번호,적요일련번호,최대금액,최소금액,출처번호,확인용
0,주식회사,인터넷뱅킹 대량이체,(주),(주),0.0,,회사입금,,1.0,입금,(주) 더나은교육,급여가 입금된 내역의 적요이다.,,,,"7,204,000","7,204,000",,1307.0
1,주식회사,인터넷뱅킹 대량이체,더나은교육,더나은교육,1.0,,회사입금,,1.0,입금,(주) 더나은교육,급여가 입금된 내역의 적요이다.,,,,"7,204,000","7,204,000",,1307.0
2,주식회사,인터넷뱅킹 대량이체,(주),(주),0.0,,회사입금,,1.0,입금,(주) 이든,급여가 입금된 내역의 적요이다.,,,,"44,000","44,000",,1308.0
3,주식회사,인터넷뱅킹 대량이체,이든,이든,1.0,,회사입금,,1.0,입금,(주) 이든,급여가 입금된 내역의 적요이다.,,,,"44,000","44,000",,1308.0
4,주식회사,인터넷뱅킹 대량이체,(주),(주),0.0,,회사입금,,1.0,입금,(주) 케이디로지스,급여가 입금된 내역의 적요이다.,,,,"7,080,000", - ,,1309.0
5,주식회사,인터넷뱅킹 대량이체,케이디로지스,케이디로지스,1.0,,회사입금,,1.0,입금,(주) 케이디로지스,급여가 입금된 내역의 적요이다.,,,,"7,080,000", - ,,1309.0
6,주식회사,인터넷뱅킹 대량이체,(주),(주),0.0,,회사입금,,1.0,입금,(주)AK로지스틱스,급여가 입금된 내역의 적요이다.,,,,"440,000","264,000",,1310.0
7,주식회사,인터넷뱅킹 대량이체,AK로지스틱스,AK로지스틱스,1.0,,회사입금,,1.0,입금,(주)AK로지스틱스,급여가 입금된 내역의 적요이다.,,,,"440,000","264,000",,1310.0
8,주식회사,어음만기입금,(주),(주),0.0,,회사입금,,1.0,입금,(주)DAS,회사에서 입금된 내역의 적요이다.,,,,"10,441,000","10,441,000",,1311.0
9,주식회사,어음만기입금,DAS,DAS,1.0,,회사입금,,1.0,입금,(주)DAS,회사에서 입금된 내역의 적요이다.,,,,"10,441,000","10,441,000",,1311.0
10,주식회사,펌뱅킹 입금이체,(주),(주),0.0,,회사입금,,1.0,입금,(주)DB하이텍,회사에서 입금된 내역의 적요이다.,,,,"24,298,000", - ,,1312.0
11,주식회사,펌뱅킹 입금이체,DB하이텍,DB하이텍,1.0,,회사입금,,1.0,입금,(주)DB하이텍,회사에서 입금된 내역의 적요이다.,,,,"24,298,000", - ,,1312.0
12,주식회사,펌뱅킹 입금이체,(주),(주),0.0,,회사입금,,1.0,입금,(주)E,회사에서 입금된 내역의 적요이다.,,,,"16,269,000", - ,,1313.0
13,주식회사,펌뱅킹 입금이체,E,E,1.0,,회사입금,,1.0,입금,(주)E,회사에서 입금된 내역의 적요이다.,,,,"16,269,000", - ,,1313.0
14,주식회사,인터넷뱅킹 대량이체,(주),(주),0.0,,회사입금,,1.0,입금,(주)GS스포츠,급여가 입금된 내역의 적요이다.,,,,"6,535,000", - ,,1314.0
15,주식회사,인터넷뱅킹 대량이체,GS스포츠,GS스포츠,1.0,,회사입금,,1.0,입금,(주)GS스포츠,급여가 입금된 내역의 적요이다.,,,,"6,535,000", - ,,1314.0
16,주식회사,급여 입금이체,(주),(주),0.0,,회사입금,,1.0,입금,(주)K.W.E 코리아,급여가 입금된 내역의 적요이다.,,,,"16,046,000","2,162,000",,1315.0
17,주식회사,급여 입금이체,K,K,1.0,,회사입금,,1.0,입금,(주)K.W.E 코리아,급여가 입금된 내역의 적요이다.,,,,"16,046,000","2,162,000",,1315.0
18,주식회사,급여 입금이체,W,W,2.0,,회사입금,,1.0,입금,(주)K.W.E 코리아,급여가 입금된 내역의 적요이다.,,,,"16,046,000","2,162,000",,1315.0
19,주식회사,급여 입금이체,E,E,3.0,,회사입금,,1.0,입금,(주)K.W.E 코리아,급여가 입금된 내역의 적요이다.,,,,"16,046,000","2,162,000",,1315.0
20,주식회사,급여 입금이체,코리아,코리아,4.0,,회사입금,,1.0,입금,(주)K.W.E 코리아,급여가 입금된 내역의 적요이다.,,,,"16,046,000","2,162,000",,1315.0
21,주식회사,어음만기입금,(주),(주),0.0,,회사입금,,1.0,입금,(주)LF,회사에서 입금된 내역의 적요이다.,,,,"12,310,000","12,310,000",,1316.0
22,주식회사,어음만기입금,LF,LF,1.0,,회사입금,,1.0,입금,(주)LF,회사에서 입금된 내역의 적요이다.,,,,"12,310,000","12,310,000",,1316.0
23,주식회사,급여 입금이체,(주),(주),0.0,,회사입금,,1.0,입금,(주)SIS캐나다,급여가 입금된 내역의 적요이다.,,,,"1,841,000","1,841,000",,1317.0
24,주식회사,급여 입금이체,SIS캐나다,SIS캐나다,1.0,,회사입금,,1.0,입금,(주)SIS캐나다,급여가 입금된 내역의 적요이다.,,,,"1,841,000","1,841,000",,1317.0
25,주식회사,인터넷뱅킹 대량이체,(주),(주),0.0,,회사입금,,1.0,입금,(주)가겐투안,급여가 입금된 내역의 적요이다.,,,,"636,000","636,000",,1318.0
26,주식회사,인터넷뱅킹 대량이체,가겐투안,가겐투안,1.0,,회사입금,,1.0,입금,(주)가겐투안,급여가 입금된 내역의 적요이다.,,,,"636,000","636,000",,1318.0
27,주식회사,인터넷뱅킹 대량이체,(주),(주),0.0,,회사입금,,1.0,입금,(주)가든파이브라이프,급여가 입금된 내역의 적요이다.,,,,"5,261,000","117,000",,1319.0
28,주식회사,인터넷뱅킹 대량이체,가든파이브라이프,가든파이브라이프,1.0,,회사입금,,1.0,입금,(주)가든파이브라이프,급여가 입금된 내역의 적요이다.,,,,"5,261,000","117,000",,1319.0
29,주식회사,인터넷뱅킹 대량이체,(주),(주),0.0,,회사입금,,1.0,입금,(주)가람산업,급여가 입금된 내역의 적요이다.,,,,"660,000","660,000",,1320.0
30,주식회사,인터넷뱅킹 대량이체,가람산업,가람산업,1.0,,회사입금,,1.0,입금,(주)가람산업,급여가 입금된 내역의 적요이다.,,,,"660,000","660,000",,1320.0
31,주식회사,인터넷뱅킹 대량이체,(주),(주),0.0,,회사입금,,1.0,입금,(주)가온제이에스건설,급여가 입금된 내역의 적요이다.,,,,"197,000","197,000",,1321.0
32,주식회사,인터넷뱅킹 대량이체,가온제이에스건설,가온제이에스건설,1.0,,회사입금,,1.0,입금,(주)가온제이에스건설,급여가 입금된 내역의 적요이다.,,,,"197,000","197,000",,1321.0
33,주식회사,인터넷뱅킹 대량이체,(주),(주),0.0,,회사입금,,1.0,입금,(주)가우디자인,급여가 입금된 내역의 적요이다.,,,,"3,293,000","3,146,000",,1322.0
34,주식회사,인터넷뱅킹 대량이체,가우디자인,가우디자인,1.0,,회사입금,,1.0,입금,(주)가우디자인,급여가 입금된 내역의 적요이다.,,,,"3,293,000","3,146,000",,1322.0
35,주식회사,인터넷뱅킹 대량이체,(주),(주),0.0,,회사입금,,1.0,입금,(주)갑을상사,급여가 입금된 내역의 적요이다.,,,,"4,965,000","3,513,000",,1323.0
36,주식회사,인터넷뱅킹 대량이체,갑을상사,갑을상사,1.0,,회사입금,,1.0,입금,(주)갑을상사,급여가 입금된 내역의 적요이다.,,,,"4,965,000","3,513,000",,1323.0
37,주식회사,인터넷뱅킹 대량이체,(주),(주),0.0,,회사입금,,1.0,입금,(주)강원심층수,급여가 입금된 내역의 적요이다.,,,,"142,000","3,000",,1324.0
38,주식회사,인터넷뱅킹 대량이체,강원심층수,강원심층수,1.0,,회사입금,,1.0,입금,(주)강원심층수,급여가 입금된 내역의 적요이다.,,,,"142,000","3,000",,1324.0
39,주식회사,인터넷뱅킹 대량이체,(주),(주),0.0,,회사입금,,1.0,입금,(주)거흥산업,급여가 입금된 내역의 적요이다.,,,,"1,320,000", - ,,1325.0
40,주식회사,인터넷뱅킹 대량이체,거흥산업,거흥산업,1.0,,회사입금,,1.0,입금,(주)거흥산업,급여가 입금된 내역의 적요이다.,,,,"1,320,000", - ,,1325.0
41,주식회사,어음만기입금,(주),(주),0.0,,회사입금,,1.0,입금,(주)건양아이티티,회사에서 입금된 내역의 적요이다.,,,,"1,000","1,000",,1326.0
42,주식회사,어음만기입금,건양아이티티,건양아이티티,1.0,,회사입금,,1.0,입금,(주)건양아이티티,회사에서 입금된 내역의 적요이다.,,,,"1,000","1,000",,1326.0
43,주식회사,인터넷뱅킹 대량이체,(주),(주),0.0,,회사입금,,1.0,입금,(주)건우특송,급여가 입금된 내역의 적요이다.,,,,"678,000","678,000",,1327.0
44,주식회사,인터넷뱅킹 대량이체,건우특송,건우특송,1.0,,회사입금,,1.0,입금,(주)건우특송,급여가 입금된 내역의 적요이다.,,,,"678,000","678,000",,1327.0
45,주식회사,인터넷뱅킹 대량이체,(주),(주),0.0,,회사입금,,1.0,입금,(주)건축사사무소에스,급여가 입금된 내역의 적요이다.,,,, - , - ,,1328.0
46,주식회사,인터넷뱅킹 대량이체,건축사사무소에스,건축사사무소에스,1.0,,회사입금,,1.0,입금,(주)건축사사무소에스,급여가 입금된 내역의 적요이다.,,,, - , - ,,1328.0
47,주식회사,인터넷뱅킹 대량이체,(주),(주),0.0,,회사입금,,1.0,입금,(주)게임펍,급여가 입금된 내역의 적요이다.,,,,"437,000","437,000",,1329.0
48,주식회사,인터넷뱅킹 대량이체,게임펍,게임펍,1.0,,회사입금,,1.0,입금,(주)게임펍,급여가 입금된 내역의 적요이다.,,,,"437,000","437,000",,1329.0
49,주식회사,인터넷뱅킹 대량이체,(주),(주),0.0,,회사입금,,1.0,입금,(주)게티이미지코리아,급여가 입금된 내역의 적요이다.,,,,"1,340,000", - ,,1330.0
50,주식회사,인터넷뱅킹 대량이체,게티이미지코리아,게티이미지코리아,1.0,,회사입금,,1.0,입금,(주)게티이미지코리아,급여가 입금된 내역의 적요이다.,,,,"1,340,000", - ,,1330.0
51,주식회사,인터넷뱅킹 대량이체,(주),(주),0.0,,회사입금,,1.0,입금,(주)경기고속,급여가 입금된 내역의 적요이다.,,,,"44,000","44,000",,1331.0
52,주식회사,인터넷뱅킹 대량이체,경기고속,경기고속,1.0,,회사입금,,1.0,입금,(주)경기고속,급여가 입금된 내역의 적요이다.,,,,"44,000","44,000",,1331.0
