,개체명,거래코드,단어,단어의미,단어일련번호,데이터셋출처,분류,분류번호,완료여부,입출금구분,적요,적요 설명,적요구조,적요구조일련번호,적요일련번호,최대금액,최소금액,출처번호,확인용
0,알수없음,인터넷뱅킹 대량이체,1월,1월,0.0,,사업소득,,1.0,입금,  월카드대금,카드대금 으로(로) 입금된 내역의 적요이다.,,,,"988,000","988,000",,450.0
1,금융용어,인터넷뱅킹 대량이체,카드대금,카드대금,1.0,,사업소득,,1.0,입금,  월카드대금,카드대금 으로(로) 입금된 내역의 적요이다.,,,,"988,000","988,000",,450.0
2,알수없음,인터넷뱅킹 대량이체,1월,1월,0.0,,회사입금,,1.0,입금, 월　법인카드대금,카드대금 으로(로) 입금된 내역의 적요이다.,,,,"339,000","339,000",,643.0
3,알수없음,인터넷뱅킹 대량이체,법인,법인,1.0,,회사입금,,1.0,입금, 월　법인카드대금,카드대금 으로(로) 입금된 내역의 적요이다.,,,,"339,000","339,000",,643.0
4,금융용어,인터넷뱅킹 대량이체,카드대금,카드대금,2.0,,회사입금,,1.0,입금, 월　법인카드대금,카드대금 으로(로) 입금된 내역의 적요이다.,,,,"339,000","339,000",,643.0
5,알수없음,인터넷뱅킹 대량이체,1월,1월,0.0,,기타소득,,1.0,입금, 월　사업대금,사업대금 으로(로) 입금된 내역의 적요이다.,,,,"484,000","484,000",,651.0
6,금융용어,인터넷뱅킹 대량이체,사업대금,사업대금,1.0,,기타소득,,1.0,입금, 월　사업대금,사업대금 으로(로) 입금된 내역의 적요이다.,,,,"484,000","484,000",,651.0
7,알수없음,인터넷뱅킹 대량이체,1월,1월,0.0,,사업소득,,1.0,입금, 월카드대금,카드대금 으로(로) 입금된 내역의 적요이다.,,,,"1,460,000", - ,,1127.0
8,금융용어,인터넷뱅킹 대량이체,카드대금,카드대금,1.0,,사업소득,,1.0,입금, 월카드대금,카드대금 으로(로) 입금된 내역의 적요이다.,,,,"1,460,000", - ,,1127.0
9,알수없음,인터넷뱅킹 대량이체,대림비앤코,대림비앤코,0.0,,사업소득,,1.0,입금,대림비앤코（카드대금,카드대금 으로(로) 입금된 내역의 적요이다.,,,,"1,677,000","9,000",,6816.0
10,금융용어,인터넷뱅킹 대량이체,카드대금,카드대금,1.0,,사업소득,,1.0,입금,대림비앤코（카드대금,카드대금 으로(로) 입금된 내역의 적요이다.,,,,"1,677,000","9,000",,6816.0
11,알수없음,인터넷뱅킹 대량이체,대암테크,대암테크,0.0,,기타소득,,1.0,입금,대암테크 월물품대금,물품대금 으로(로) 입금된 내역의 적요이다.,,,,"3,366,000","3,366,000",,6866.0
12,알수없음,인터넷뱅킹 대량이체,1월,1월,1.0,,기타소득,,1.0,입금,대암테크 월물품대금,물품대금 으로(로) 입금된 내역의 적요이다.,,,,"3,366,000","3,366,000",,6866.0
13,금융용어,인터넷뱅킹 대량이체,물품대금,물품대금,2.0,,기타소득,,1.0,입금,대암테크 월물품대금,물품대금 으로(로) 입금된 내역의 적요이다.,,,,"3,366,000","3,366,000",,6866.0
14,알수없음,전자뱅킹예약건별이체,롯데카드,롯데카드,0.0,,사업소득,,1.0,입금,롯데카드결제대금,결제대금 으로(로) 입금된 내역의 적요이다.,,,,"547,000","547,000",,7510.0
15,금융용어,전자뱅킹예약건별이체,결제대금,결제대금,1.0,,사업소득,,1.0,입금,롯데카드결제대금,결제대금 으로(로) 입금된 내역의 적요이다.,,,,"547,000","547,000",,7510.0
16,알수없음,인터넷뱅킹 대량이체,리스너,리스너,0.0,,회사입금,,1.0,입금,리스너＿법인카드대금,카드대금 으로(로) 입금된 내역의 적요이다.,,,,"6,217,000","6,217,000",,7544.0
17,알수없음,인터넷뱅킹 대량이체,법인,법인,1.0,,회사입금,,1.0,입금,리스너＿법인카드대금,카드대금 으로(로) 입금된 내역의 적요이다.,,,,"6,217,000","6,217,000",,7544.0
18,금융용어,인터넷뱅킹 대량이체,카드대금,카드대금,2.0,,회사입금,,1.0,입금,리스너＿법인카드대금,카드대금 으로(로) 입금된 내역의 적요이다.,,,,"6,217,000","6,217,000",,7544.0
19,금융용어,인터넷뱅킹 대량이체,물품대금,물품대금,0.0,,기타소득,,1.0,입금,물품대금,물품대금 으로(로) 입금된 내역의 적요이다.,,,,"224,000","1,000",,7881.0
20,알수없음,인터넷뱅킹 대량이체,법인,법인,0.0,,회사입금,,1.0,입금,법인카드대금,카드대금 으로(로) 입금된 내역의 적요이다.,,,,"907,000", - ,,8298.0
21,금융용어,인터넷뱅킹 대량이체,카드대금,카드대금,1.0,,회사입금,,1.0,입금,법인카드대금,카드대금 으로(로) 입금된 내역의 적요이다.,,,,"907,000", - ,,8298.0
22,알수없음,펌뱅킹 입금이체,복지,복지,0.0,,복리후생비/경비,,1.0,입금,복지카드대금,카드대금 으로(로) 입금된 내역의 적요이다.,,,,"540,000", - ,,8398.0
23,금융용어,펌뱅킹 입금이체,카드대금,카드대금,1.0,,복리후생비/경비,,1.0,입금,복지카드대금,카드대금 으로(로) 입금된 내역의 적요이다.,,,,"540,000", - ,,8398.0
24,알수없음,전자뱅킹예약건별이체,삼성,삼성,0.0,,사업소득,,1.0,입금,삼성카드대금,카드대금 으로(로) 입금된 내역의 적요이다.,,,,"2,701,000","2,701,000",,8999.0
25,금융용어,전자뱅킹예약건별이체,카드대금,카드대금,1.0,,사업소득,,1.0,입금,삼성카드대금,카드대금 으로(로) 입금된 내역의 적요이다.,,,,"2,701,000","2,701,000",,8999.0
26,알수없음,인터넷뱅킹 대량이체,삼일,삼일,0.0,,기타소득,,1.0,입금,삼일결제대금,결제대금 으로(로) 입금된 내역의 적요이다.,,,, - , - ,,9090.0
27,금융용어,인터넷뱅킹 대량이체,결제대금,결제대금,1.0,,기타소득,,1.0,입금,삼일결제대금,결제대금 으로(로) 입금된 내역의 적요이다.,,,, - , - ,,9090.0
28,알수없음,인터넷뱅킹 대량이체,세종기명식,세종기명식,0.0,,사업소득,,1.0,입금,세종기명식카드대금,카드대금 으로(로) 입금된 내역의 적요이다.,,,,"592,000","150,000",,9811.0
