,개체명,거래코드,단어,단어의미,단어일련번호,데이터셋출처,분류,분류번호,완료여부,입출금구분,적요,적요 설명,적요구조,적요구조일련번호,적요일련번호,최대금액,최소금액,출처번호,확인용
0,은행명,타행자동이체-전자금융부,신한,신한은행,0.0,우리은행,교육비,EF01,1.0,출금,신한-기숙사 관리비,신한은행 계좌로 관리비로(으로) 이체한 내역의 적요이다.,직접입력,,38853.0,0.0,0.0,F020,70831.0
1,금융용어,타행자동이체-전자금융부,관리비,관리비,1.0,우리은행,교육비,EF01,1.0,출금,신한-기숙사 관리비,신한은행 계좌로 관리비로(으로) 이체한 내역의 적요이다.,직접입력,,38853.0,0.0,0.0,F020,70831.0
2,알수없음,타행자동이체-전자금융부,-기숙사,-기숙사,2.0,우리은행,교육비,EF01,1.0,출금,신한-기숙사 관리비,신한은행 계좌로 관리비로(으로) 이체한 내역의 적요이다.,직접입력,,38853.0,0.0,0.0,F020,2.0
3,은행명,전자뱅킹예약건별이체,국민,KB국민은행,0.0,우리은행,세금/공과금,EB01,1.0,출금,국민   관리비,KB국민은행 계좌로 관리비로(으로) 이체한 내역의 적요이다.,직접입력,,15179.0,1071000.0,1071000.0,F020,43561.0
4,금융용어,전자뱅킹예약건별이체,관리비,관리비,1.0,우리은행,세금/공과금,EB01,1.0,출금,국민   관리비,KB국민은행 계좌로 관리비로(으로) 이체한 내역의 적요이다.,직접입력,,15179.0,1071000.0,1071000.0,F020,43561.0
5,은행명,타행자동이체-전자금융부,국민,KB국민은행,0.0,우리은행,주거비,EB02,1.0,출금,국민-낙원월세,KB국민은행 계좌로 월세로(으로) 이체한 내역의 적요이다.,직접입력,,15637.0,0.0,0.0,F020,44101.0
6,금융용어,타행자동이체-전자금융부,월세,월세,1.0,우리은행,주거비,EB02,1.0,출금,국민-낙원월세,KB국민은행 계좌로 월세로(으로) 이체한 내역의 적요이다.,직접입력,,15637.0,0.0,0.0,F020,44101.0
7,알수없음,타행자동이체-전자금융부,-낙원,-낙원,2.0,우리은행,주거비,EB02,1.0,출금,국민-낙원월세,KB국민은행 계좌로 월세로(으로) 이체한 내역의 적요이다.,직접입력,,15637.0,0.0,0.0,F020,2.0
8,은행명,타행자동이체-전자금융부,국민,KB국민은행,0.0,우리은행,주거비,EB02,1.0,출금,국민-두산 월세,KB국민은행 계좌로 월세로(으로) 이체한 내역의 적요이다.,직접입력,,15699.0,0.0,0.0,F020,44166.0
9,금융용어,타행자동이체-전자금융부,월세,월세,1.0,우리은행,주거비,EB02,1.0,출금,국민-두산 월세,KB국민은행 계좌로 월세로(으로) 이체한 내역의 적요이다.,직접입력,,15699.0,0.0,0.0,F020,44166.0
10,알수없음,타행자동이체-전자금융부,-두산,-두산,2.0,우리은행,주거비,EB02,1.0,출금,국민-두산 월세,KB국민은행 계좌로 월세로(으로) 이체한 내역의 적요이다.,직접입력,,15699.0,0.0,0.0,F020,2.0
11,은행명,타행자동이체-전자금융부,국민,KB국민은행,0.0,우리은행,세금/공과금,EB01,1.0,출금,국민-빌라관리비,KB국민은행 계좌로 관리비로(으로) 이체한 내역의 적요이다.,직접입력,,15913.0,0.0,0.0,F020,44403.0
12,금융용어,타행자동이체-전자금융부,관리비,관리비,1.0,우리은행,세금/공과금,EB01,1.0,출금,국민-빌라관리비,KB국민은행 계좌로 관리비로(으로) 이체한 내역의 적요이다.,직접입력,,15913.0,0.0,0.0,F020,44403.0
